Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2016,Renault,Renault Kwid,67.5K km,petrol,2.81 Lakh
2022,Honda,Honda City,19K km,petrol,11.03 Lakh
2022,Volkswagen,Volkswagen Taigun,60K km,petrol,12.62 Lakh
2016,Ford,Ford Figo Aspire,114K km,petrol,3.72 Lakh
2015,Honda,Honda City,52K km,petrol,6.55 Lakh
2024,Maruti,Maruti Grand Vitara,24K km,hybrid,17.69 Lakh
2019,Hyundai,Hyundai Venue,77.5K km,petrol,7.66 Lakh
2021,Maruti,Maruti S-Cross,124.5K km,petrol,7.36 Lakh
2013,Honda,Honda Amaze,114K km,petrol,3.60 Lakh
2017,Renault,Renault Kwid,36.5K km,petrol,2.98 Lakh
2022,Hyundai,Hyundai Grand i10 Nios,34.5K km,petrol,5.72 Lakh
2022,Hyundai,Hyundai New i20,32.5K km,petrol,7.70 Lakh
2017,Renault,Renault Kwid,40.5K km,petrol,2.54 Lakh
2023,Maruti,Maruti S-Presso,33K km,petrol,4.15 Lakh
2023,Kia,Kia Sonet,20.5K km,petrol,12.22 Lakh
2022,Maruti,Maruti Vitara Brezza,7.5K km,petrol,8.98 Lakh
2019,Hyundai,Hyundai Elite i20,105K km,petrol,5.32 Lakh
2018,Renault,Renault Captur,95K km,diesel,6.39 Lakh
2018,Renault,Renault Kwid,53.5K km,petrol,2.90 Lakh
2023,Honda,Honda WR-V,31K km,petrol,7.92 Lakh
2018,Maruti,Maruti Ignis,60.5K km,petrol,5.03 Lakh
2020,Renault,Renault Kwid,116.5K km,petrol,3 Lakh
2015,Hyundai,Hyundai Grand i10,49.5K km,petrol,3.86 Lakh
2021,Honda,Honda Jazz,73K km,petrol,7.41 Lakh
2022,Kia,Kia Sonet,60K km,petrol,9.30 Lakh
2023,Maruti,Maruti Celerio,97.5K km,petrol,5.06 Lakh
2020,Tata,Tata Nexon,67.5K km,petrol,8.03 Lakh
2023,Tata,Tata Harrier,117K km,diesel,15.45 Lakh
2018,Hyundai,Hyundai i20 Active,55.5K km,petrol,6.32 Lakh
2022,Maruti,Maruti Ertiga,101.5K km,petrol,9.96 Lakh
2016,Maruti,Maruti Celerio,22K km,petrol,4.20 Lakh
2022,MG,MG Astor,29K km,petrol,9.57 Lakh
2021,Hyundai,Hyundai Creta,44.5K km,petrol,11.02 Lakh
2022,Tata,Tata Altroz,16.5K km,petrol,7.44 Lakh
2016,Hyundai,Hyundai Elite i20,120K km,petrol,4.52 Lakh
2020,Renault,Renault Triber,125.5K km,petrol,4.86 Lakh
2018,Hyundai,Hyundai Elite i20,97.5K km,diesel,6.21 Lakh
2024,Honda,Honda Amaze,10K km,petrol,8.97 Lakh
2019,Hyundai,Hyundai Eon,42K km,petrol,2.85 Lakh
2015,Hyundai,Hyundai i10,52.5K km,petrol,3.08 Lakh
2022,Hyundai,Hyundai Verna,34K km,petrol,10.23 Lakh
2014,Maruti,Maruti Ciaz,125K km,petrol,3.98 Lakh
2014,Hyundai,Hyundai i10,91K km,petrol,2.81 Lakh
2021,Maruti,Maruti Swift,95.5K km,petrol,6.58 Lakh
2024,Maruti,Maruti XL6,70K km,petrol,10.88 Lakh
2016,Maruti,Maruti Vitara Brezza,137.5K km,diesel,6.17 Lakh
2019,Hyundai,Hyundai Creta,68K km,diesel,10.12 Lakh
2017,Hyundai,Hyundai Verna,21K km,petrol,8.49 Lakh
2017,Mahindra,Mahindra TUV300,114.5K km,diesel,6.40 Lakh
2017,Hyundai,Hyundai Eon,100K km,petrol,2.19 Lakh
2020,Kia,Kia Seltos,88.5K km,diesel,9.69 Lakh
2021,Maruti,Maruti Alto 800,24.5K km,petrol,3.58 Lakh
2014,Hyundai,Hyundai Eon,41K km,petrol,2.56 Lakh
2023,Tata,Tata Tigor,24K km,petrol,6.68 Lakh
2019,Hyundai,Hyundai Elite i20,54K km,petrol,6.22 Lakh
2021,Honda,Honda Amaze,45K km,diesel,8.41 Lakh
2024,Mahindra,Mahindra XUV 3XO,27.5K km,diesel,11.88 Lakh
2018,Hyundai,Hyundai Xcent,57.5K km,petrol,4.73 Lakh
2017,Hyundai,Hyundai i20 Active,70K km,petrol,5.32 Lakh
2022,Volkswagen,Volkswagen Taigun,43K km,petrol,12.59 Lakh
2016,Tata,Tata Zest,79K km,petrol,3.58 Lakh
2015,Maruti,Maruti Swift Dzire,86K km,petrol,4.14 Lakh
2020,Maruti,Maruti Alto 800,40.5K km,petrol,3.04 Lakh
2021,Maruti,Maruti Swift,51.5K km,petrol,6.22 Lakh
2019,Hyundai,Hyundai Eon,59K km,petrol,2.69 Lakh
2023,Maruti,Maruti Brezza,49.5K km,petrol,9.52 Lakh
2017,Ford,Ford Figo Aspire,50K km,petrol,4.73 Lakh
2014,Maruti,Maruti Alto 800,38K km,petrol,2.17 Lakh
2017,Maruti,Maruti Ignis,84K km,diesel,4.49 Lakh
2016,Honda,Honda Jazz,113.5K km,petrol,4.04 Lakh
2022,Kia,Kia Seltos,71.5K km,petrol,14.22 Lakh
2022,Maruti,Maruti Alto 800,44.5K km,petrol,3.31 Lakh
2018,Volkswagen,Volkswagen Polo,107K km,petrol,4.87 Lakh
2018,Maruti,Maruti Vitara Brezza,113K km,diesel,7.03 Lakh
2021,Maruti,Maruti S-Cross,91K km,petrol,6.56 Lakh
2016,Maruti,Maruti Ritz,99K km,petrol,3.05 Lakh
2021,Ford,Ford Freestyle,27K km,petrol,5.90 Lakh
2018,Maruti,Maruti Baleno,60.5K km,petrol,6.16 Lakh
2021,Maruti,Maruti Baleno,35K km,petrol,7.06 Lakh
2022,Maruti,Maruti Alto 800,41K km,petrol,3.63 Lakh
2019,Maruti,Maruti Alto 800,33.5K km,petrol,2.86 Lakh
2020,Ford,Ford Freestyle,54.5K km,petrol,4.90 Lakh
2022,Renault,Renault Kwid,39.5K km,petrol,3.20 Lakh
2012,Ford,Ford Figo,111K km,diesel,2.40 Lakh
2022,Maruti,Maruti Brezza,22K km,petrol,10.51 Lakh
2020,Kia,Kia Sonet,61K km,petrol,9.11 Lakh
2018,Hyundai,Hyundai Grand i10,28.5K km,petrol,5.49 Lakh
2022,Hyundai,Hyundai Venue,28.5K km,petrol,10.32 Lakh
2021,Maruti,Maruti Swift,44K km,petrol,6.22 Lakh
2015,Hyundai,Hyundai Elite i20,92.5K km,petrol,4.74 Lakh
2019,Hyundai,Hyundai Venue,103.5K km,petrol,7.49 Lakh
2023,Kia,Kia Sonet,16.5K km,petrol,10.15 Lakh
2020,Hyundai,Hyundai Elite i20,106.5K km,petrol,6.17 Lakh
2020,Hyundai,Hyundai Venue,75K km,petrol,7.10 Lakh
